claim_id,chapter,claim,claim_type,claim_grade,supporting_source_grades,scope,supporting_sources,source_file,source_locator,counterevidence,publication_wording,status,notes
C01,第2章,六个核心AI Coding产品呈现从局部代码辅助向Agent交付系统扩展的共同方向,样本归纳,D,A,六个核心产品,Codex;Claude Code;Cursor;Qoder;GitHub Copilot;Devin,report/product-capability-evolution-matrix-v0.1.md,§2产品矩阵;§5判断一,不代表六个产品能力相同，也不证明真实项目可靠性相同,六个核心产品的官方资料显示，它们均在不同程度上扩展任务委托、执行环境、验证、并行或治理能力，呈现从代码辅助向Agent交付系统演进的共同方向,保留,核心产品结论
C02,第2章,可委托给AI的任务单位已从局部代码扩展到多文件修改、Issue、功能和异步任务,样本归纳,D,A,六个核心产品,Codex;Claude Code;Cursor;Qoder;GitHub Copilot;Devin,report/product-capability-evolution-matrix-v0.1.md,§2产品矩阵;§3委托范围,产品支持长任务不等于所有长任务均可可靠完成,多个产品已经将Agent的主要工作单位从代码片段扩展到Issue、功能和异步任务,保留,不使用完全自主完成
C03,第2章,实际Agent表现同时受模型、上下文、工具、执行环境、权限和Harness影响,研究推断,D,A,产品系统能力,Codex;Claude Code;Cursor;Qoder;GitHub Copilot;Devin,report/product-capability-evolution-matrix-v0.1.md;report/capability-bottleneck-matrix-v0.1.md,产品矩阵§4;能力瓶颈矩阵§4—6,各因素的相对权重尚未量化，该表达式不是行业公式,产品资料表明，真实Agent表现不仅取决于模型，还受到上下文、工具、环境、权限和Harness配置影响,保留,分析表达式
C04,第2章,在异步任务中，人的部分工作可能从连续操作转向目标定义、状态观察、异常处理和验收,研究推断,D,A,后台与并行任务功能,Cursor;GitHub Copilot;Devin,report/product-capability-evolution-matrix-v0.1.md,§5判断三;相关状态管理资料,缺少广泛用户行为研究；部分任务仍需持续人工操作,在可异步委托的任务中，产品设计允许人的部分工作转向目标定义、状态观察、异常处理和验收；这不代表所有开发任务都已发生相同变化,需降级,H5相关
C05,第2章,多个产品已将测试、审查或交互验证嵌入Agent运行流程,样本归纳,D,A,六个核心产品,Codex;Claude Code;Cursor;Qoder;GitHub Copilot;Devin,report/product-capability-evolution-matrix-v0.1.md;report/capability-bottleneck-matrix-v0.1.md,产品矩阵§4验证;能力瓶颈矩阵§8,自我验证不等于独立验证，验证覆盖率未知,多个产品已经把测试、审查或交互验证嵌入Agent工作流，但这些机制不能自动等同于充分的独立验证,保留,与C14区分
C06,第2章,随着Agent获得命令、网络和工具访问权，权限、审批、审计和停止能力成为产品设计问题,样本归纳,D,A,高自主产品功能,Codex;Claude Code;Cursor;Qoder;GitHub Copilot,report/product-capability-evolution-matrix-v0.1.md;report/capability-bottleneck-matrix-v0.1.md,产品矩阵§4治理;能力瓶颈矩阵§6、§10,尚无统一的行业风险等级和控制标准,随着Agent获得更多执行权，多个产品开始在产品层提供沙箱、权限、审批、审计和停止机制,保留,不宣称统一治理模型
C07,第2章,AI Coding产品的竞争对象正从代码生成扩展到完整工程交付闭环,研究推断,D,A,六个核心产品,Codex;Claude Code;Cursor;Qoder;GitHub Copilot;Devin,report/product-capability-evolution-matrix-v0.1.md,§5判断二,未研究市场份额、收入、采用率或相对性能；与C01高度重合,并入C01：厂商产品路线已从生成能力扩展到环境、验证、并行和治理，但本研究不据此判断市场竞争强弱,合并,不再作为独立核心发现
C08,第3章,Agent增强执行能力后，项目瓶颈会按任务类型迁移，而不是统一消失,样本归纳,D,A,六个核心产品,Codex;Claude Code;Cursor;Qoder;GitHub Copilot;Devin,report/capability-bottleneck-matrix-v0.1.md,§2;§13;§14,创新性、高风险、低可验证任务仍可能以专业技术判断为核心瓶颈,当任务目标清晰且结果可验证时，规格、上下文、环境、权限、验证和审查更可能成为主要约束；其他任务仍可能以专业判断为核心瓶颈,保留,H2较强支持
C09,第3章,执行能力增强提高了任务定义、范围控制和验收标准的重要性,样本归纳,D,A,复杂Agent任务,OpenAI;Qoder;Devin,report/capability-bottleneck-matrix-v0.1.md,§3,小型明确任务未必需要复杂规格；过度规格也会增加成本,多个产品的官方实践建议表明，复杂Agent任务仍需要明确范围、背景和完成标准,保留,条件性表述
C10,第3章,项目和组织知识的准确性、时效性及维护责任会影响Agent表现,研究推断,D,A,上下文功能,Claude Code;Codex;GitHub Copilot,report/capability-bottleneck-matrix-v0.1.md,§4,尚不能证明企业普遍建立了专门的Agent知识管理岗位；自动记忆准确性未知,产品实践显示，项目规则和组织知识的准确性、时效性及维护责任会影响Agent表现,保留,不写成独立职业结论
C11,第3章,Agent能否可靠构建和测试项目，受到依赖、操作系统、网络、凭据和服务环境约束,样本归纳,D,A,执行环境,Codex;GitHub Copilot;Cursor;Devin,report/capability-bottleneck-matrix-v0.1.md,§5,各产品环境自动化程度不同,官方资料显示，Agent能否可靠构建和测试项目，取决于依赖、工具、服务和权限是否正确配置,保留,直接产品证据较强
C12,第3章,多个产品官方文档将Prompt Injection、越权、密钥和网络访问列为高自主Agent风险,公司主张,A,A,官方安全说明,Anthropic;OpenAI;Qoder;Cursor;GitHub,report/capability-bottleneck-matrix-v0.1.md,§6,不能据此推断事故发生率、损失规模或风险同比上升,多个产品的官方安全文档将Prompt Injection、越权、密钥和网络访问列为需要控制的风险,保留,明确是公司官方风险陈述
C13,第3章,并行Agent在提高潜在吞吐量的同时，会引入任务依赖、状态观察和结果整合问题,研究推断,D,A,并行与状态功能,Cursor;GitHub Copilot;Devin,report/capability-bottleneck-matrix-v0.1.md,§7,尚不能证明多Agent总体效率高于单Agent；冲突率未知,并行功能提高潜在吞吐量的同时，也引入任务依赖、状态观察和结果整合问题,保留,不写必然降低效率
C14,第3章,Agent自我声明应与测试、独立检查或真实需求验收结合使用,方法建议,D,A,验证与完成证据,Anthropic;GitHub Copilot;Devin;Codex Security,report/capability-bottleneck-matrix-v0.1.md,§8,某些低风险任务可由确定性自动验收；独立主体不一定必须是人类,Agent自我声明不宜单独作为完成证据，应结合可重复测试、独立检查或真实需求验收,保留,完成证据原则
C15,第3章,在可标准化、可验证任务中，代码产量增长可能使验证、审查和集成成为新约束,研究推断,D,A,可标准化任务与代码审查,Cognition;GitHub Copilot;Anthropic,report/capability-bottleneck-matrix-v0.1.md,§9,Cognition的瓶颈判断属于厂商观点；不适用于原创算法和高复杂度系统,对可标准化、可验证任务，代码产量增长可能使验证、审查和集成成为新的限制因素,保留,明确使用可能
C16,第3章,长期或事件触发的Agent流程应明确触发条件、权限、升级点、停止能力和责任主体,方法建议,D,A,长期与事件触发自动化,GitHub Copilot;OpenAI,report/capability-bottleneck-matrix-v0.1.md,§10,具体控制强度取决于组织和任务风险；不是统一行业规范,长期或事件触发的Agent流程应明确触发条件、可用权限、人工升级点、停止能力和责任主体,保留,治理原则
C17,第3章,组织评估Agent任务时，应同时考虑推理与环境成本、人工时间、返工、风险和新增价值,方法建议,D,A,成本与价值治理,GitHub Copilot;Cursor,report/capability-bottleneck-matrix-v0.1.md,§11,缺少独立ROI数据，不能断言Agent一定更便宜或更贵,组织评估Agent任务时，需要同时比较推理和环境成本、人工时间、返工、风险和新增项目价值,保留,成本治理，不计算行业ROI
C18,第4章,开放编码形成Agent运行、评测交付、安全控制、部署采用、产品学习和组织决策六类任务群,样本归纳,D,A;B,20份定向JD,JD001—JD020,data/jd-open-coding-v0.1.md;data/jd-sample-register-v0.1.csv,开放编码§2—7,定向样本，不是行业标准分类；3份Cognition正文不完整,对20份定向样本的开放编码形成六类任务群，作为本研究后续分析结构，不代表行业岗位比例,保留,S1—S3分层基础
C19,第4章,Agent运行、评测、治理、部署和采用责任目前多由既有工程、产品、安全、客户和运营职能承担,样本归纳,D,A,17份完整JD,JD001—JD017,data/jd-open-coding-v0.1.md,§8,不能证明所有公司均如此，也不能排除独立Agent组织,本研究样本公司的公开JD显示，Agent运行、评测、治理、部署和采用责任目前多由既有职能岗位承担,保留,强制样本限定
C20,第4章,当前样本更支持既有职能责任扩展，而非已形成成熟独立职业体系,研究推断,D,A,17份完整JD,JD001—JD017,data/jd-open-coding-v0.1.md,§8;§10,职业体系形成需要长期和更广泛样本,当前样本更支持既有职能责任扩展，而不是一个已经成熟、独立的数字劳动力管理职业体系,保留,不使用已经不存在新职业
C21,第4章,核心系统岗位仍重点要求复杂系统、平台、安全或评测工程能力,样本归纳,D,A,S1核心交付岗位,JD007;JD008;JD011;JD012;JD015;JD016,data/jd-open-coding-v0.1.md;report/six-dimension-framework-review-v0.2.md,对应JD条目;六维复核§4.4,不能推广到全部AI岗位；JD要求不等于实际录用标准,样本中的核心系统岗位仍重点要求复杂系统、分布式平台、安全或评测工程能力,保留,技术门槛反例
C22,第4章,部署、采用和转型岗位与既有解决方案工程、咨询和客户采用职能存在任务连续性,研究推断,D,A;B,S2边界与采用岗位,JD002;JD004;JD013;JD017;JD018;JD019,data/jd-open-coding-v0.1.md,相关JD;§9,未进行长期职业史研究；Cognition材料不完整,部署、采用和转型岗位与既有技术解决方案、咨询及客户采用职能存在明显任务连续性,保留,不称完全相同职业
