product_id,product_name,company,product_form,primary_entry_points,target_users,sample_tier,research_status,classification_status,official_url,docs_url,accessed_date,notes
P001,Codex,OpenAI,"cloud coding agent; terminal agent","ChatGPT; cloud; CLI; IDE integrations","individual developers; engineering teams; enterprises",A,candidate,provisional,https://openai.com/codex/,https://developers.openai.com/codex/,2026-07-30,"重点研究端到端任务、并行委派、Review与企业工作流"
P002,Claude Code,Anthropic,"terminal coding agent","CLI; IDE integrations","professional developers; engineering teams; enterprises",A,candidate,provisional,https://www.anthropic.com/product/claude-code,https://docs.anthropic.com/en/docs/claude-code/,2026-07-30,"重点研究终端工作流、工具调用、项目规则与长任务"
P003,Cursor,Cursor,"AI-native code editor; background agent","desktop editor; cloud/background agent","individual developers; engineering teams; enterprises",A,candidate,provisional,https://cursor.com/,https://docs.cursor.com/,2026-07-30,"重点研究编辑器入口、交互式Agent与后台委派"
P004,GitHub Copilot,GitHub,"developer platform coding agent","IDE; GitHub; CLI; mobile","individual developers; engineering teams; enterprises",A,candidate,provisional,https://github.com/features/copilot,https://docs.github.com/en/copilot,2026-07-30,"重点研究代码托管平台入口、Issue到PR闭环与组织治理"
P005,Gemini CLI,Google,"open-source terminal coding agent","CLI","developers; cloud users; open-source users",B,candidate,provisional,https://github.com/google-gemini/gemini-cli,https://geminicli.com/docs/,2026-07-30,"作为模型厂商CLI与开放扩展生态案例"
P006,Qoder,Qoder,"agentic coding platform","desktop IDE; JetBrains plugin; CLI","developers; engineering teams",A,candidate,provisional,https://qoder.com/,https://docs.qoder.com/,2026-07-30,"结合仓库所有者的一手使用经验研究任务委派和项目理解"
P007,CodeBuddy,Tencent Cloud,"AI coding assistant and agent","IDE; CLI","developers; enterprises; China market users",B,candidate,provisional,https://www.codebuddy.ai/,https://www.codebuddy.ai/docs/ide/Introduction,2026-07-30,"区域市场和企业开发工具案例"
P008,Devin,Cognition,"autonomous software engineering agent","web; desktop; integrations","engineering teams; enterprises",A,candidate,provisional,https://devin.ai/,https://docs.devin.ai/,2026-07-30,"重点研究长任务委派、并行Agent与企业采用"
P009,Windsurf,Cognition,"AI-native code editor","desktop editor; integrations","individual developers; engineering teams",B,candidate,provisional,https://windsurf.com/,https://docs.windsurf.com/,2026-07-30,"作为AI编辑器与Cognition产品组合案例"
P010,Replit Agent,Replit,"browser-based app building agent","browser IDE; cloud deployment","non-professional builders; developers; startups",A,candidate,provisional,https://replit.com/products/agent,https://docs.replit.com/replitai/agent,2026-07-30,"重点研究自然语言到应用、部署闭环和非专业用户"
P011,OpenCode,OpenCode,"open-source terminal coding agent","CLI; desktop","developers; self-hosting and open-source users",B,candidate,provisional,https://opencode.ai/,https://opencode.ai/docs,2026-07-30,"开放源代码、模型选择和终端Agent对照样本"
P012,Aider,Aider-AI,"open-source terminal pair-programming tool","CLI","developers; open-source users",B,candidate,provisional,https://aider.chat/,https://aider.chat/docs/,2026-07-30,"作为Assistant到Agent边界及代码库映射对照样本"
