role_family_id,role_family,example_titles,core_mission,primary_responsibilities,technical_skills,product_business_skills,research_skills,collaboration_scope,typical_background,evidence_status,notes
R001,AI Product Management,"AI Product Manager; Coding Agent Product Manager; Developer Tools PM","将模型和Agent能力转化为可采用的产品工作流","用户研究;需求定义;路线图;能力边界;指标设计;跨团队推进","LLM/Agent基础;软件开发流程;API和工具调用理解","产品策略;用户分层;商业化;项目管理","竞品分析;访谈;实验设计;数据分析","research;engineering;design;go-to-market","计算机/AI/产品/商科复合背景",framework_hypothesis,"后续通过岗位样本验证"
R002,Agent Engineering,"Agent Engineer; AI Application Engineer; Applied AI Engineer","构建可靠、可验证的Agent系统和应用","Agent工作流;工具集成;上下文工程;评测;部署;监控","Python/TypeScript;LLM API;RAG;MCP;测试与云服务","需求理解;成本与效果权衡;交付意识","实验设计;错误分析;Benchmark","product;platform;security;operations","计算机/软件工程/AI背景",framework_hypothesis,"需区分应用工程与模型研究"
R003,Developer Tools Engineering,"Developer Tools Engineer; IDE Engineer; DevEx Engineer","构建开发者入口、工具链和工程体验","IDE/CLI;代码索引;版本控制;构建系统;插件和性能","编译器/语言服务;Git;IDE扩展;分布式系统","开发者体验;生态意识;产品判断","用户行为分析;技术调研","product;developer relations;platform","软件工程/编译器/基础设施背景",framework_hypothesis,"Coding Agent公司核心岗位族群"
R004,AI Evaluation and Quality,"AI Evaluation Engineer; Agent Evaluation Researcher; Quality Engineer","建立可复现的Agent能力、可靠性和安全评测","任务集构建;Harness;自动评分;人工评审;回归分析","测试工程;数据处理;容器/沙箱;统计基础","质量门槛;风险管理;指标沟通","实验设计;统计分析;误差与偏差分析","research;engineering;product;security","AI/软件测试/统计/研究背景",framework_hypothesis,"与传统QA职责边界待岗位验证"
R005,Enterprise AI Platform,"AI Platform Engineer; Enterprise Agent Platform; Internal AI Tools Engineer","将Agent安全接入企业数据、系统和工作流","权限;审计;模型网关;工具注册;工作流编排;成本治理","云平台;身份权限;API;可观测性;安全","内部客户需求;治理;采购与ROI","流程分析;采用效果评估","IT;security;legal;business teams","平台工程/企业IT/安全/AI应用背景",framework_hypothesis,"与JD中的内部AI工具开发直接相关"
R006,AI Solutions and Adoption,"AI Solutions Architect; AI Consultant; Customer Engineer","帮助客户完成选型、落地和规模化采用","场景识别;POC;集成;培训;采用评估","云服务;API;Agent工具链;系统集成","行业理解;咨询;客户沟通;价值量化","需求调研;案例研究;问题诊断","sales;product;engineering;customer teams","技术+行业/咨询复合背景",framework_hypothesis,"重点关注企业客户采用流程"
R007,Developer Relations,"Developer Advocate; DevRel Engineer; Technical Community","通过内容、社区和生态推动开发者采用","教程;示例;活动;社区反馈;伙伴生态","编程;产品实操;技术写作;Demo开发","社区运营;品牌;用户增长","开发者调研;反馈归纳","engineering;marketing;community;partners","技术传播/工程/社区背景",framework_hypothesis,"需要区分技术深度与市场职责"
R008,AI Strategy and Market Research,"AI Strategy Analyst; AI Industry Research; Product Strategy","解释行业、公司和产品变化并支持决策","行业跟踪;公司研究;竞品分析;战略专题;报告撰写","AI产品与技术理解;数据处理","商业分析;市场结构;战略框架","案头研究;访谈;信息验证;综合判断","leadership;product;investment;talent","商科/经济/技术复合背景",framework_hypothesis,"与目标实习岗位的行业研究职责直接相关"
R009,AI Talent Strategy and Mapping,"Talent Strategy; Talent Intelligence; Strategic Sourcer; Talent Research","建立业务所需人才画像、目标公司和供给判断","岗位分析;人才画像;公司Mapping;市场扫描;招聘策略","对AI岗位和技术栈的理解;数据工具","组织与人才策略;招聘流程;业务理解","公开信息研究;数据编码;趋势分析","business leaders;HRBP;recruiters;research teams","人力资源/商科/咨询/技术复合背景",framework_hypothesis,"不采集私人联系方式或敏感个人数据"
R010,AI Security and Governance,"AI Security Engineer; AI Governance; Product Security","控制Agent在代码、数据和工具调用中的风险","威胁建模;权限;供应链安全;数据治理;红队;合规","应用安全;云安全;身份权限;安全测试","风险沟通;治理政策;合规协作","安全评测;事件分析","engineering;legal;compliance;enterprise IT","网络安全/软件工程/合规背景",framework_hypothesis,"企业规模化采用的重要岗位族群"
