sample_id,company,product_or_domain,job_title,job_family,evidence_grade,problem_statement,primary_deliverables,main_stakeholders,technical_depth,governance_relevance,source_url,limitations
JD001,OpenAI,Codex,"Product Manager, Codex Security Controls",Security Product,A,"Agent获得代码库、工具、凭据和执行权限后企业如何保持控制","权限模型;审批;审计;回滚;合作伙伴接口;高风险能力上线标准","Codex研发;安全;Safety;企业客户;安全厂商",High,High,https://openai.com/careers/product-manager-codex-security-controls-and-partner-interfaces-remote-us/,None
JD002,OpenAI,Codex,"Deployed Product Manager, Codex",Deployment Product,A,"客户如何从试验进入真实工作流并扩大使用","部署策略;集成路径;账户扩展;产品反馈;客户内部采用","客户;产品;Deployment Engineering;GTM",Medium,Medium,https://openai.com/careers/deployed-product-manager-codex-san-francisco/,None
JD003,OpenAI,Codex/API,"Developer Experience Engineer",Developer Experience,A,"开发者如何理解接入并成功使用Codex和API","示例应用;开发者工具;技术内容;演示;开发者旅程优化","产品;研发;研究;GTM",High,Low,https://openai.com/careers/developer-experience-engineer-san-francisco/,None
JD004,OpenAI,Codex,"Manager, AI Deployment Engineering—Codex",Deployment Engineering,A,"大型企业如何把Codex嵌入完整软件开发生命周期","生产部署;安全集成;规模推广;部署工程团队建设","企业客户;产品;工程;GTM",High,Medium,https://openai.com/careers/manager-ai-deployment-engineering-codex-munich-germany/,None
JD005,Anthropic,Claude Code,"Product Manager, Claude Code Model Performance",Model Performance Product,A,"如何把底层模型进步转化为开发者实际感知能力","Agent评测;模型发布标准;失败行为分析;产品优先级","研究;产品工程;用户;竞争评测",High,Medium,https://job-boards.greenhouse.io/anthropic/jobs/5247640008,None
JD006,Anthropic,Developer Productivity,"Product Manager, Developer Productivity",Developer Productivity Product,A,"Agent承担更多代码工作后内部开发系统应如何变化","构建;CI/CD;开发环境;治理框架;生产力指标","研究;基础设施;推理;产品工程;安全",High,High,https://job-boards.greenhouse.io/anthropic/jobs/5220143008,None
JD007,Anthropic,Claude Code,"Model Performance SWE, Claude Code",Evaluation Engineering,A,"Claude Code如何建立可扩展评测和研究基础设施","评测框架;实验系统;长期技术架构;产品研究转换","研究;产品;工程",Very High,Medium,https://job-boards.greenhouse.io/anthropic/jobs/5098025008,None
JD008,Anthropic,Developer Productivity,"Staff SWE, Developer Productivity—CI/CD",Platform Engineering,A,"Agent提高代码产量后如何避免审查合并和部署成为瓶颈","AI辅助审查;CI;合并队列;灰度发布;健康检查;自动回滚","基础设施;产品工程;安全",Very High,High,https://job-boards.greenhouse.io/anthropic/jobs/5271428008,None
JD009,Anthropic,People/Recruiting,"People Research Scientist, Recruiting",People Research,A,"招聘漏斗面试方法和人才评估是否有效","验证研究;心理测量;标准指标;分析工具;仪表板;战略建议","招聘;People Analytics;管理层",Medium,Medium,https://job-boards.greenhouse.io/anthropic/jobs/5257763008,"不能推断该岗位由Claude Code直接产生"
JD010,Anthropic,Workforce Planning,"Workforce Planning Lead",Workforce Planning,A,"公司战略怎样转化为人员数量结构地域和能力需求","人员预测模型;Headcount计划;数据治理;持续调整机制","业务;财务;招聘;HRBP;人才负责人",Medium,Medium,https://job-boards.greenhouse.io/anthropic/jobs/5202462008,"不能推断该岗位由Claude Code直接产生"
JD011,Cursor,Agent,"Software Engineer, Agent Harness",Agent Engineering,A,"模型怎样通过循环工具执行环境和Guardrails表现为可用Agent","Agent Harness;工具;模型路由;默认行为;多Agent;新模型上线","模型;产品;工程",Very High,High,https://cursor.com/hi/careers/software-engineer-agent-harness,None
JD012,Cursor,Agent,"Software Engineer, Agent Evaluation and Quality",Evaluation Engineering,A,"如何将Agent质量转化为可操作和可持续改进的测量系统","数据集;离线回放;评分器;回归告警;仪表板;用户反馈循环","产品;数据;工程",High,High,https://cursor.com/fr/careers/software-engineer-agent-evaluation-and-quality,None
JD013,Cursor,Enterprise Adoption,"AI Adoption Engineer",Adoption Engineering,A,"大型工程组织购买Cursor后怎样真正改变工作方式","Hackathon;Champion网络;工作流改造;可持续使用行为","客户工程师;管理层;产品;客户团队",High,Medium,https://cursor.com/careers/ai-adoption-engineer,None
JD014,Cursor,Product Research,"User Researcher",User Research,A,"不同能力层级和工作流的开发者究竟需要什么","访谈;可用性测试;问卷;实验;路线图洞察","产品;设计;工程;用户",Medium,Low,https://cursor.com/cn/careers/user-researcher,None
JD015,GitHub,Copilot,"Staff SWE, Mission Control",Agent Platform Engineering,A,"不同IDE CLI网页和云端Agent会话如何统一生命周期权限和远程控制","Session API;Task API;Agent Registry;远程Steering;策略执行;Host Protocol","Copilot产品;平台;安全",Very High,High,https://www.github.careers/careers-home/jobs/5611?lang=en-us,None
JD016,GitHub,Copilot,"Principal SWE, Enterprise AI Platform",Enterprise AI Platform,A,"企业Agent如何跨IDE CLI MCP和长任务环境安全一致运行","企业AI平台;身份;策略;控制平面;平台架构","产品;安全;平台;企业客户相关团队",Very High,High,https://www.github.careers/early-in-career/jobs/5481?lang=en-us,None
JD017,GitHub,Developer AI Products,"Senior Product Operations Manager",Product Operations,A,"高速迭代的开发者AI产品组合如何稳定发布并用AI改造运营","发布准备;跨团队节奏;风险指标;AI自动化路线图;采用效果","Product;Engineering;Marketing;Revenue;Support",Medium,Medium,https://www.github.careers/careers-home/jobs/5516?lang=en-us,None
JD018,Cognition,Devin,"Deployed Engineer—APAC",Deployment Engineering,B,"帮助工程组织识别适合委托给Devin的用例并完成试点","售前技术;演示;Pilot;用例识别","客户;销售;产品;工程",Unknown,Unknown,https://jobs.ashbyhq.com/cognition/b73fd66a-f43b-4240-95c2-7a76b4ffb0c6,"正文不完整;结果指标技术栈和协作机制不足"
JD019,Cognition,Devin,"Applied AI Transformation Manager—APAC",AI Transformation,B,"从战略和价值对齐推动客户项目交付","战略对齐;价值识别;项目推进;客户转型","战略客户;产品;技术;运营",Unknown,Unknown,https://jobs.ashbyhq.com/cognition/be59ef70-1b34-4af5-a831-da964a6d3869,"正文不完整;实施深度和量化方法不足"
JD020,Cognition,Devin,"Product Engineer",Product Engineering,B,"识别现有产品与理想状态差距并推进产品","产品差距识别;与工程产品GTM及Design Partner协作","工程;产品;GTM;Design Partner",Unknown,Unknown,https://jobs.ashbyhq.com/cognition/439404bb-3185-4d22-b6df-4a5e39a510d6,"正文不完整;模块成功指标和技术深度不足"
